 ,open,high,low,adjclose,volume,ticker
2017-02-15,562,562,562,19,2080,IRO1DAML0001
2017-02-18,561,561,561,19,4000,IRO1DAML0001
2017-02-19,560,560,560,19,3050,IRO1DAML0001
2017-02-20,559,559,559,19,3526,IRO1DAML0001
2017-02-21,559,559,559,20,14464,IRO1DAML0001
2017-02-22,554,554,554,19,12076,IRO1DAML0001
2017-02-25,551,551,551,19,6146,IRO1DAML0001
2017-02-26,549,549,549,19,33682,IRO1DAML0001
2017-02-27,540,551,540,18,552131,IRO1DAML0001
2017-02-28,532,567,532,20,436809,IRO1DAML0001
2017-03-01,557,564,523,16,517450,IRO1DAML0001
2017-03-04,515,522,506,16,383919,IRO1DAML0001
2017-03-05,494,534,494,21,96915,IRO1DAML0001
2017-03-06,532,544,532,26,125226,IRO1DAML0001
2017-03-07,565,565,515,16,102616,IRO1DAML0001
2017-03-08,547,547,517,20,33948,IRO1DAML0001
2017-03-11,531,531,511,18,65287,IRO1DAML0001
2017-04-08,565,574,556,30,542797,IRO1DAML0001
2017-04-09,570,597,565,24,243431,IRO1DAML0001
2017-04-10,610,617,610,23,82017,IRO1DAML0001
2017-04-12,641,641,641,23,154367,IRO1DAML0001
2017-04-15,653,673,612,24,294586,IRO1DAML0001
2017-04-16,701,701,637,24,185536,IRO1DAML0001
2017-04-17,729,729,664,17,172036,IRO1DAML0001
2017-04-18,690,690,653,19,67347,IRO1DAML0001
2017-04-19,667,697,658,22,181919,IRO1DAML0001
2017-04-22,695,713,686,22,351590,IRO1DAML0001
2017-04-23,717,734,704,22,202509,IRO1DAML0001
2017-04-24,733,744,692,19,370598,IRO1DAML0001
2017-04-26,739,769,704,25,271599,IRO1DAML0001
2017-04-29,789,789,773,22,971795,IRO1DAML0001
2017-04-30,752,790,747,15,187746,IRO1DAML0001
2017-05-01,741,766,741,18,20373,IRO1DAML0001
2017-05-02,731,731,731,18,24758,IRO1DAML0001
2017-05-03,719,719,719,18,4985,IRO1DAML0001
2017-05-06,717,717,717,19,200,IRO1DAML0001
2017-05-07,717,717,717,20,859,IRO1DAML0001
2017-05-08,773,785,716,29,734470,IRO1DAML0001
2017-05-09,796,796,737,14,125699,IRO1DAML0001
2017-05-10,715,717,715,17,107972,IRO1DAML0001
2017-05-13,699,699,680,15,70693,IRO1DAML0001
2017-05-14,653,653,651,15,26700,IRO1DAML0001
2017-05-15,640,707,640,28,637881,IRO1DAML0001
2017-05-16,739,739,727,24,129565,IRO1DAML0001
2017-05-17,748,771,748,24,1082818,IRO1DAML0001
2017-05-20,771,809,733,20,93234,IRO1DAML0001
2017-05-21,748,773,740,20,33346,IRO1DAML0001
2017-05-22,724,775,723,13,17716,IRO1DAML0001
2017-05-23,728,729,728,20,4000,IRO1DAML0001
2017-05-24,724,738,722,19,34667,IRO1DAML0001
2017-05-27,706,737,706,17,42015,IRO1DAML0001
2017-05-28,716,716,716,21,500,IRO1DAML0001
2017-05-29,748,748,699,17,34530,IRO1DAML0001
2017-05-30,685,710,685,21,9213,IRO1DAML0001
2017-05-31,710,710,681,15,16195,IRO1DAML0001
2017-06-03,681,681,674,18,29308,IRO1DAML0001
2017-06-06,662,662,662,18,13162,IRO1DAML0001
